year,region,value
2091,Samut Prakan,264569.7311183183
2091,Rest of Thailand,80405.61538443365
2092,Thailand,123345.11410025667
2092,Bangkok,493643.2856622774
2092,Nonthaburi,130703.53650182324
2092,Samut Prakan,276148.95381695376
2092,Rest of Thailand,83924.66695099707
2093,Thailand,128750.70135176709
2093,Bangkok,515277.15313432645
2093,Nonthaburi,136431.60587688826
2093,Samut Prakan,288251.15401482733
2093,Rest of Thailand,87602.65706083494
2094,Thailand,134400.85518030034
2094,Bangkok,537889.8080478188
2094,Nonthaburi,142418.83198272614
2094,Samut Prakan,300900.89762271836
2094,Rest of Thailand,91447.05156109964
2095,Thailand,140307.08939700286
2095,Bangkok,561527.3301814817
2095,Nonthaburi,148677.41551205533
2095,Samut Prakan,314123.96212622675
2095,Rest of Thailand,95465.68450969337
2096,Thailand,146481.48730931524
2096,Bangkok,586238.0785127272
2096,Nonthaburi,155220.16062843468
2096,Samut Prakan,327947.40001731954
2096,Rest of Thailand,99666.77745280389
2097,Thailand,152936.73164662914
2097,Bangkok,612072.8109840461
2097,Nonthaburi,162060.50667720078
2097,Samut Prakan,342399.6057928407
2097,Rest of Thailand,104058.95978647974
2098,Thailand,159686.1361764799
2098,Bangkok,639084.8110351485
2098,Nonthaburi,169212.56168779387
2098,Samut Prakan,357510.38673784613
2098,Rest of Thailand,108651.29026845457
2099,Thailand,166743.67911509925
2099,Bangkok,667330.0213163672
2099,Nonthaburi,176691.13777749002
2099,Samut Prakan,373311.03772620915
2099,Rest of Thailand,113453.27975086373
2100,Thailand,174124.03844314648
2100,Bangkok,696867.185026834
2100,Nonthaburi,184511.78857396927
2100,Samut Prakan,389834.42028659873
2100,Rest of Thailand,118474.91520925409
