year,region,value
2046,Samut Prakan,1293802.9878911173
2046,Rest of Thailand,55496328.66414327
2047,Thailand,63153231.89476074
2047,Bangkok,5332100.49569914
2047,Nonthaburi,1218228.740265043
2047,Samut Prakan,1289537.5033108883
2047,Rest of Thailand,55313365.155485675
2048,Thailand,62944335.96412894
2048,Bangkok,5314463.170389684
2048,Nonthaburi,1214199.1281805157
2048,Samut Prakan,1285272.018730659
2048,Rest of Thailand,55130401.646828085
2049,Thailand,62735440.03349714
2049,Bangkok,5296825.8450802285
2049,Nonthaburi,1210169.5160959885
2049,Samut Prakan,1281006.5341504298
2049,Rest of Thailand,54947438.138170496
2050,Thailand,62526544.10286533
2050,Bangkok,5279188.519770773
2050,Nonthaburi,1206139.9040114612
2050,Samut Prakan,1276741.0495702005
2050,Rest of Thailand,54764474.6295129
2051,Thailand,62118803.521060176
2051,Bangkok,5244762.510315185
2051,Nonthaburi,1198274.5694842406
2051,Samut Prakan,1268415.319340974
2051,Rest of Thailand,54407351.12191977
2052,Thailand,61711062.939255014
2052,Bangkok,5210336.500859599
2052,Nonthaburi,1190409.23495702
2052,Samut Prakan,1260089.5891117477
2052,Rest of Thailand,54050227.614326656
2053,Thailand,61303322.35744986
2053,Bangkok,5175910.491404011
2053,Nonthaburi,1182543.9004297992
2053,Samut Prakan,1251763.8588825215
2053,Rest of Thailand,53693104.10673352
2054,Thailand,60895581.7756447
2054,Bangkok,5141484.481948423
2054,Nonthaburi,1174678.5659025786
2054,Samut Prakan,1243438.128653295
2054,Rest of Thailand,53335980.599140406
2055,Thailand,60487841.19383954
2055,Bangkok,5107058.472492836
2055,Nonthaburi,1166813.231375358
2055,Samut Prakan,1235112.3984240687
2055,Rest of Thailand,52978857.09154728
2056,Thailand,60080100.61203439
2056,Bangkok,5072632.463037249
2056,Nonthaburi,1158947.8968481375
2056,Samut Prakan,1226786.6681948423
2056,Rest of Thailand,52621733.58395416
2057,Thailand,59672360.030229226
2057,Bangkok,5038206.453581661
2057,Nonthaburi,1151082.562320917
2057,Samut Prakan,1218460.937965616
2057,Rest of Thailand,52264610.07636103
2058,Thailand,59264619.44842407
2058,Bangkok,5003780.444126074
2058,Nonthaburi,1143217.227793696
2058,Samut Prakan,1210135.2077363897
2058,Rest of Thailand,51907486.56876791
2059,Thailand,58856878.86661891
2059,Bangkok,4969354.4346704865
2059,Nonthaburi,1135351.8932664755
2059,Samut Prakan,1201809.4775071633
2059,Rest of Thailand,51550363.06117478
2060,Thailand,58449138.284813754
2060,Bangkok,4934928.4252149
2060,Nonthaburi,1127486.558739255
2060,Samut Prakan,1193483.747277937
2060,Rest of Thailand,51193239.55358166
2061,Thailand,58041397.7030086
2061,Bangkok,4900502.415759312
2061,Nonthaburi,1119621.2242120344
2061,Samut Prakan,1185158.0170487105
2061,Rest of Thailand,50836116.045988545
2062,Thailand,57633657.12120344
2062,Bangkok,4866076.406303724
2062,Nonthaburi,1111755.8896848138
2062,Samut Prakan,1176832.286819484
2062,Rest of Thailand,50478992.53839542
2063,Thailand,57225916.53939828
2063,Bangkok,4831650.3968481375
2063,Nonthaburi,1103890.555157593
2063,Samut Prakan,1168506.556590258
2063,Rest of Thailand,50121869.030802295
2064,Thailand,56818175.95759312
2064,Bangkok,4797224.38739255
2064,Nonthaburi,1096025.2206303724
2064,Samut Prakan,1160180.8263610315
2064,Rest of Thailand,49764745.52320917
2065,Thailand,56410435.375787966
2065,Bangkok,4762798.377936962
2065,Nonthaburi,1088159.8861031518
2065,Samut Prakan,1151855.096131805
2065,Rest of Thailand,49407622.01561605
2066,Thailand,56002694.79398281
2066,Bangkok,4728372.368481375
2066,Nonthaburi,1080294.5515759313
2066,Samut Prakan,1143529.3659025787
2066,Rest of Thailand,49050498.50802293
2067,Thailand,55594954.21217765
2067,Bangkok,4693946.359025788
2067,Nonthaburi,1072429.2170487107
2067,Samut Prakan,1135203.6356733523
