# File: Subregions_Thailand_pcgdp.csv
# Title: Subregions and rest-of-Thailand pcgdp
# Units: thousand 2005 USD per capita
# Description: Computed off-line
# Column types: cin
# ----------
"region","year","pcgdp"
"Nonthaburi",1979,1.328723549
"Nonthaburi",1980,1.410304224
"Nonthaburi",1981,1.360615043
"Nonthaburi",1982,1.318068091
"Nonthaburi",1983,1.360175919
"Nonthaburi",1984,1.344496649
"Nonthaburi",1985,1.189434766
"Nonthaburi",1986,1.267526255
"Nonthaburi",1987,1.42273209
"Nonthaburi",1988,1.647164711
"Nonthaburi",1989,1.824752086
"Nonthaburi",1990,2.042397865
"Nonthaburi",1991,2.249733075
"Nonthaburi",1992,2.467965539
"Nonthaburi",1993,2.757247195
"Nonthaburi",1994,3.039300987
"Nonthaburi",1995,3.399060346
"Nonthaburi",1996,3.571169846
"Nonthaburi",1997,2.850658794
"Nonthaburi",1998,2.112430605
"Nonthaburi",1999,2.294629319
"Nonthaburi",2000,2.215925953
"Nonthaburi",2001,2.046026102
"Nonthaburi",2002,2.23237806
"Nonthaburi",2003,2.462775718
"Nonthaburi",2004,2.700695135
"Nonthaburi",2005,2.843453235
"Nonthaburi",2006,3.213913243
"Nonthaburi",2007,3.692039117
"Nonthaburi",2008,3.991214112
"Nonthaburi",2009,3.809237666
"Nonthaburi",2010,4.530593353
"Nonthaburi",2011,4.597888603
"Nonthaburi",2012,4.907449559
"Nonthaburi",2013,5.377752357
"Nonthaburi",2014,5.619518657
"Nonthaburi",2015,5.571854838
"Nonthaburi",2016,5.5909201
"Nonthaburi",2017,6.16068379
"Nonthaburi",2018,6.414728708
"Nonthaburi",2019,6.835454455
"Nonthaburi",2020,7.038857031
"Nonthaburi",2021,7.300622796
"Nonthaburi",2022,7.57942283
"Nonthaburi",2023,7.861301118
"Nonthaburi",2024,8.16152258
"Nonthaburi",2025,8.465059427
"Nonthaburi",2026,8.771432036
"Nonthaburi",2027,9.097663188
"Nonthaburi",2028,9.4269428
"Nonthaburi",2029,9.768146217
"Nonthaburi",2030,10.12170543
"Nonthaburi",2031,10.52918238
"Nonthaburi",2032,10.95317154
"Nonthaburi",2033,11.39434705
"Nonthaburi",2034,11.84198036
"Nonthaburi",2035,12.30732298
"Nonthaburi",2036,12.79108118
"Nonthaburi",2037,13.29398965
"Nonthaburi",2038,13.81681269
"Nonthaburi",2039,14.36034536
"Nonthaburi",2040,14.92541478
"Nonthaburi",2041,15.51288142
"Nonthaburi",2042,16.12364045
"Nonthaburi",2043,16.75862317
"Nonthaburi",2044,17.41879848
"Nonthaburi",2045,18.10517441
"Nonthaburi",2046,18.81879973
"Nonthaburi",2047,19.56076558
"Nonthaburi",2048,20.33220727
"Nonthaburi",2049,21.13430601
"Nonthaburi",2050,21.96829085
"Nonthaburi",2051,22.90853772
"Nonthaburi",2052,23.89005663
"Nonthaburi",2053,24.91471649
"Nonthaburi",2054,25.98447419
"Nonthaburi",2055,27.10137887
"Nonthaburi",2056,28.26757652
"Nonthaburi",2057,29.48531479
"Nonthaburi",2058,30.75694801
"Nonthaburi",2059,32.08494255
"Nonthaburi",2060,33.47188237
"Nonthaburi",2061,34.92047501
"Nonthaburi",2062,36.43355771
"Nonthaburi",2063,38.014104
"Nonthaburi",2064,39.66523062
"Nonthaburi",2065,41.39020476
"Nonthaburi",2066,43.19245173
"Nonthaburi",2067,45.07556306
"Nonthaburi",2068,47.04330501
"Nonthaburi",2069,49.09962756
"Nonthaburi",2070,51.24867391
"Nonthaburi",2071,53.49479045
"Nonthaburi",2072,55.84253738
"Nonthaburi",2073,58.29669983
"Nonthaburi",2074,60.86229965
"Nonthaburi",2075,63.54460784
"Nonthaburi",2076,66.27286402
"Nonthaburi",2077,69.1213534
"Nonthaburi",2078,72.09554818
"Nonthaburi",2079,75.2011797
"Nonthaburi",2080,78.44425138
"Nonthaburi",2081,81.83105223
"Nonthaburi",2082,85.36817118
"Nonthaburi",2083,89.06251209
"Nonthaburi",2084,92.9213096
"Nonthaburi",2085,96.95214584
"Nonthaburi",2086,101.162968
"Nonthaburi",2087,105.5621069
"Nonthaburi",2088,110.1582965
"Nonthaburi",2089,114.9606945
"Nonthaburi",2090,119.978904
"Nonthaburi",2091,125.2229966
"Nonthaburi",2092,130.7035365
"Nonthaburi",2093,136.4316059
"Nonthaburi",2094,142.418832
"Nonthaburi",2095,148.6774155
"Nonthaburi",2096,155.2201606
"Nonthaburi",2097,162.0605067
"Nonthaburi",2098,169.2125617
"Nonthaburi",2099,176.6911378
"Nonthaburi",2100,184.5117886
"SamutPrakan",1970,2.654279583
"SamutPrakan",1971,2.560543719
"SamutPrakan",1972,2.652521176
"SamutPrakan",1973,3.251797397
"SamutPrakan",1974,3.68139076
"SamutPrakan",1975,3.573349176
"SamutPrakan",1976,3.777004672
"SamutPrakan",1977,4.048382773
"SamutPrakan",1978,4.490323728
"SamutPrakan",1979,4.627643148
"SamutPrakan",1980,4.911770157
"SamutPrakan",1981,4.738713996
"SamutPrakan",1982,4.5905326
"SamutPrakan",1983,4.737184626
"SamutPrakan",1984,4.68257728
"SamutPrakan",1985,4.142531866
"SamutPrakan",1986,4.414506832
"SamutPrakan",1987,4.9550536
"SamutPrakan",1988,5.736701581
"SamutPrakan",1989,6.355198183
"SamutPrakan",1990,7.113209133
"SamutPrakan",1991,7.835310705
"SamutPrakan",1992,8.595364942
"SamutPrakan",1993,9.602867425
"SamutPrakan",1994,10.58519689
"SamutPrakan",1995,11.83815725
"SamutPrakan",1996,12.43757565
"SamutPrakan",1997,9.928198865
"SamutPrakan",1998,7.357117301
"SamutPrakan",1999,7.991674151
"SamutPrakan",2000,7.717568154
"SamutPrakan",2001,7.125845458
"SamutPrakan",2002,7.774867119
"SamutPrakan",2003,8.577289973
"SamutPrakan",2004,9.405909409
"SamutPrakan",2005,9.903103537
"SamutPrakan",2006,11.19333183
"SamutPrakan",2007,12.85853595
"SamutPrakan",2008,13.90049468
"SamutPrakan",2009,13.26671194
"SamutPrakan",2010,15.7790304
"SamutPrakan",2011,14.62904874
"SamutPrakan",2012,16.1399727
"SamutPrakan",2013,14.8060989
"SamutPrakan",2014,13.74677469
"SamutPrakan",2015,13.1242286
"SamutPrakan",2016,12.71875661
"SamutPrakan",2017,13.29787308
"SamutPrakan",2018,14.61186972
"SamutPrakan",2019,14.38368096
"SamutPrakan",2020,14.87161753
"SamutPrakan",2021,15.42467328
"SamutPrakan",2022,16.01371884
"SamutPrakan",2023,16.6092681
"SamutPrakan",2024,17.24357261
"SamutPrakan",2025,17.88488183
"SamutPrakan",2026,18.53218241
"SamutPrakan",2027,19.2214399
"SamutPrakan",2028,19.91713814
"SamutPrakan",2029,20.63802886
"SamutPrakan",2030,21.38502476
"SamutPrakan",2031,22.24593747
"SamutPrakan",2032,23.14173696
"SamutPrakan",2033,24.07384759
"SamutPrakan",2034,25.01960218
"SamutPrakan",2035,26.00277281
"SamutPrakan",2036,27.02485166
"SamutPrakan",2037,28.08739099
"SamutPrakan",2038,29.19200559
"SamutPrakan",2039,30.34037527
"SamutPrakan",2040,31.53424755
"SamutPrakan",2041,32.77544043
"SamutPrakan",2042,34.0658452
"SamutPrakan",2043,35.40742952
"SamutPrakan",2044,36.80224045
"SamutPrakan",2045,38.25240775
"SamutPrakan",2046,39.76014724
"SamutPrakan",2047,41.32776431
"SamutPrakan",2048,42.95765758
"SamutPrakan",2049,44.65232273
"SamutPrakan",2050,46.41435648
"SamutPrakan",2051,48.40089944
"SamutPrakan",2052,50.47464148
"SamutPrakan",2053,52.63953125
"SamutPrakan",2054,54.89970321
"SamutPrakan",2055,57.25948679
"SamutPrakan",2056,59.723416
"SamutPrakan",2057,62.29623965
"SamutPrakan",2058,64.98293193
"SamutPrakan",2059,67.78870377
"SamutPrakan",2060,70.71901455
"SamutPrakan",2061,73.77958469
"SamutPrakan",2062,76.9764087
"SamutPrakan",2063,80.31576903
"SamutPrakan",2064,83.80425068
"SamutPrakan",2065,87.44875653
"SamutPrakan",2066,91.25652355
"SamutPrakan",2067,95.23513988
"SamutPrakan",2068,99.39256282
"SamutPrakan",2069,103.7371379
"SamutPrakan",2070,108.2776187
"SamutPrakan",2071,113.0231883
"SamutPrakan",2072,117.9834815
"SamutPrakan",2073,123.1686081
"SamutPrakan",2074,128.5891784
"SamutPrakan",2075,134.2563288
"SamutPrakan",2076,140.0205576
"SamutPrakan",2077,146.0388138
"SamutPrakan",2078,152.3226589
"SamutPrakan",2079,158.884202
"SamutPrakan",2080,165.7361272
"SamutPrakan",2081,172.8917217
"SamutPrakan",2082,180.3649067
"SamutPrakan",2083,188.1702683
"SamutPrakan",2084,196.3230921
"SamutPrakan",2085,204.8393973
"SamutPrakan",2086,213.7359748
"SamutPrakan",2087,223.0304257
"SamutPrakan",2088,232.7412031
"SamutPrakan",2089,242.8876552
"SamutPrakan",2090,253.4900715
"SamutPrakan",2091,264.5697311
"SamutPrakan",2092,276.1489538
"SamutPrakan",2093,288.251154
"SamutPrakan",2094,300.9008976
"SamutPrakan",2095,314.1239621
"SamutPrakan",2096,327.9474
"SamutPrakan",2097,342.3996058
"SamutPrakan",2098,357.5103867
"SamutPrakan",2099,373.3110377
"SamutPrakan",2100,389.8344203
